Set random seed to 2021
Number of classes: 2
Number of model parameters: 11177538
Length of train/val datasets: 237937, 61915
Length of train/val dataloaders: 24, 7
Using 1 GPUs: GeForce RTX 3090
Max/min/avg number of train datasets: 167122, 70815, 118968.5
Max/min/avg number of test datasets: 43798, 18117, 30957.5
Config:
  - seed: 2021
  - root_dir: croppedData
  - train_batch_size: 10000
  - test_batch_size: 10000
  - lr: 0.001
  - test_ratio: 0.2
  - num_epoch: 200
  - grad_accum_step: 1
  - data_parallel: False
  - optim_type: Adam
  - loss_type: CE
  - model_type: resnet18
  - model_path: ckpt/resnet18_4839_pretrain/best_loss.pth
  - train_isNull: True
  - gray_scale: False
  - use_imagenet_pretrain: True
  - cfg_str: NULL_use_imagenet_pretrain_
  - dest_path: ckpt/resnet18_lr0.001_CE_NULL_use_imagenet_pretrain_


Epoch time: 24m/8.7h


Epoch  10 | Train step   1 | Loss: 0.101122 | Acc: 96.070000%
Epoch  10 | Train step   2 | Loss: 0.103081 | Acc: 96.075000%
Epoch  10 | Train step   3 | Loss: 0.102401 | Acc: 96.103333%
Epoch  10 | Train step   4 | Loss: 0.102171 | Acc: 96.062500%
Epoch  10 | Train step   5 | Loss: 0.101397 | Acc: 96.066000%
Epoch  10 | Train step   6 | Loss: 0.101856 | Acc: 96.070000%
Epoch  10 | Train step   7 | Loss: 0.100398 | Acc: 96.171429%
Epoch  10 | Train step   8 | Loss: 0.100988 | Acc: 96.130000%
Epoch  10 | Train step   9 | Loss: 0.101834 | Acc: 96.087778%
Epoch  10 | Train step  10 | Loss: 0.101880 | Acc: 96.087000%
Epoch  10 | Train step  11 | Loss: 0.101840 | Acc: 96.082727%
Epoch  10 | Train step  12 | Loss: 0.101267 | Acc: 96.093333%
Epoch  10 | Train step  13 | Loss: 0.101770 | Acc: 96.054615%
Epoch  10 | Train step  14 | Loss: 0.101102 | Acc: 96.082857%
Epoch  10 | Train step  15 | Loss: 0.100694 | Acc: 96.105333%
Epoch  10 | Train step  16 | Loss: 0.100314 | Acc: 96.118125%
Epoch  10 | Train step  17 | Loss: 0.099892 | Acc: 96.121176%
Epoch  10 | Train step  18 | Loss: 0.099516 | Acc: 96.128889%
Epoch  10 | Train step  19 | Loss: 0.099235 | Acc: 96.134211%
Epoch  10 | Train step  20 | Loss: 0.099078 | Acc: 96.135000%
Epoch  10 | Train step  21 | Loss: 0.098613 | Acc: 96.154286%
Epoch  10 | Train step  22 | Loss: 0.098328 | Acc: 96.161818%
Epoch  10 | Train step  23 | Loss: 0.098198 | Acc: 96.164783%
Epoch  10 | Train step  24 | Loss: 0.098324 | Acc: 96.161589%
Epoch  10 | Train | Loss: 0.098324 | Acc: 96.161589%
Epoch  10 |  Val  | Loss: 0.194425 | Acc: 93.093758%
Model(loss) saved.
Current best: min_loss = 0.19442, best_acc = 93.09376%
Epoch time: 26m/8.7h


Epoch  11 | Train step   1 | Loss: 0.074483 | Acc: 97.180000%
Epoch  11 | Train step   2 | Loss: 0.075964 | Acc: 97.180000%
Epoch  11 | Train step   3 | Loss: 0.075497 | Acc: 97.183333%
Epoch  11 | Train step   4 | Loss: 0.077160 | Acc: 97.112500%
Epoch  11 | Train step   5 | Loss: 0.077803 | Acc: 97.064000%
Epoch  11 | Train step   6 | Loss: 0.077196 | Acc: 97.071667%
Epoch  11 | Train step   7 | Loss: 0.076828 | Acc: 97.074286%
Epoch  11 | Train step   8 | Loss: 0.077258 | Acc: 97.061250%
Epoch  11 | Train step   9 | Loss: 0.076994 | Acc: 97.066667%
Epoch  11 | Train step  10 | Loss: 0.076922 | Acc: 97.064000%
Epoch  11 | Train step  11 | Loss: 0.076538 | Acc: 97.069091%
Epoch  11 | Train step  12 | Loss: 0.076504 | Acc: 97.058333%
Epoch  11 | Train step  13 | Loss: 0.077072 | Acc: 97.024615%
Epoch  11 | Train step  14 | Loss: 0.076716 | Acc: 97.032857%
Epoch  11 | Train step  15 | Loss: 0.077009 | Acc: 97.014667%
Epoch  11 | Train step  16 | Loss: 0.076512 | Acc: 97.041250%
Epoch  11 | Train step  17 | Loss: 0.076426 | Acc: 97.042941%
Epoch  11 | Train step  18 | Loss: 0.076493 | Acc: 97.040000%
Epoch  11 | Train step  19 | Loss: 0.076926 | Acc: 97.020000%
Epoch  11 | Train step  20 | Loss: 0.076978 | Acc: 97.014500%
Epoch  11 | Train step  21 | Loss: 0.076938 | Acc: 97.019524%
Epoch  11 | Train step  22 | Loss: 0.077113 | Acc: 97.019091%
Epoch  11 | Train step  23 | Loss: 0.077178 | Acc: 97.015652%
Epoch  11 | Train step  24 | Loss: 0.077830 | Acc: 96.990800%
Epoch  11 | Train | Loss: 0.077830 | Acc: 96.990800%
Epoch  11 |  Val  | Loss: 0.196031 | Acc: 93.182589%
Model(acc) saved.
Early stop counter 1/50.
Current best: min_loss = 0.19442, best_acc = 93.18259%
Epoch time: 29m/8.7h


Epoch  12 | Train step   1 | Loss: 0.057095 | Acc: 97.880000%
Epoch  12 | Train step   2 | Loss: 0.062957 | Acc: 97.570000%
Epoch  12 | Train step   3 | Loss: 0.063890 | Acc: 97.550000%
Epoch  12 | Train step   4 | Loss: 0.066335 | Acc: 97.430000%
Epoch  12 | Train step   5 | Loss: 0.065430 | Acc: 97.506000%
Epoch  12 | Train step   6 | Loss: 0.064393 | Acc: 97.555000%
Epoch  12 | Train step   7 | Loss: 0.064907 | Acc: 97.528571%
Epoch  12 | Train step   8 | Loss: 0.065315 | Acc: 97.492500%
Epoch  12 | Train step   9 | Loss: 0.065058 | Acc: 97.491111%
Epoch  12 | Train step  10 | Loss: 0.065025 | Acc: 97.500000%
Epoch  12 | Train step  11 | Loss: 0.065207 | Acc: 97.484545%
Epoch  12 | Train step  12 | Loss: 0.065556 | Acc: 97.468333%
Epoch  12 | Train step  13 | Loss: 0.065508 | Acc: 97.479231%
Epoch  12 | Train step  14 | Loss: 0.065926 | Acc: 97.472143%
Epoch  12 | Train step  15 | Loss: 0.066445 | Acc: 97.458667%
Epoch  12 | Train step  16 | Loss: 0.066385 | Acc: 97.458125%
Epoch  12 | Train step  17 | Loss: 0.066287 | Acc: 97.464118%
Epoch  12 | Train step  18 | Loss: 0.066835 | Acc: 97.437222%
Epoch  12 | Train step  19 | Loss: 0.066789 | Acc: 97.441579%
Epoch  12 | Train step  20 | Loss: 0.067378 | Acc: 97.422000%
